date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:35%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/emerging	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/emerging	(from https://bradley.edu/academic/departments/csis/)
14:47:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:36%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/isddm	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/isddm	(from https://bradley.edu/academic/departments/csis/)
14:47:36	54308/54308	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:36%20GMT	https://bradley.edu/academic/departments/csis/major/security/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/major/security/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:36%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/mc	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/mc	(from https://bradley.edu/academic/departments/csis/)
14:47:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:36%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/se	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/se	(from https://bradley.edu/academic/departments/csis/)
14:47:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:37%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/swcs	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/swcs	(from https://bradley.edu/academic/departments/csis/)
14:47:37	53591/53591	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Mar%202025%2020:47:37%20GMT	https://bradley.edu/academic/departments/csis/minor/	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/minor/index.html	(from https://bradley.edu/academic/departments/csis/)
14:47:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:37%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/tcs	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/tcs.1f.delayed	(from https://bradley.edu/academic/departments/csis/)
14:47:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:37%20GMT	https://bradley.edu/academic/departments/csis/gradprograms/wts	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/gradprograms/wts	(from https://bradley.edu/academic/departments/csis/)
14:47:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Mar%202025%2020:47:37%20GMT	https://bradley.edu/academic/departments/csis/courses	C:/My%20Web%20Sites/Bradley%20Copy/bradley.edu/academic/departments/csis/courses	(from https://bradley.edu/academic/departments/csis/)
